"category","property_id","count","description","sva","example_target","notes"
"Control Flow","1093","1","For first executed instruction, PC has to be PC that should occur after reset.","firstInstruction && write_wb_pipe_reg && !interrupt_appeared |-> wb_InstPC == resetPC","Reset PC","PC verification at reset."
"Control Flow","1094","1","If previous instruction does not require other PC adaption and no special event appeared in between, standard PC increment occurs.","!firstInstruction && write_wb_pipe_reg && !interrupt_appeared && !exception_appeared && !last_jal && !last_jalr && !last_mret && !last_branch_taken && !debug_return |-> wb_InstPC == lastWbPC + 4","Standard PC+4 increment","Required blackboxing of submodules to verify within 24 hours."
"Control Flow","1095","1","Prove for correct PC set when an interrupt occurred.","write_wb_pipe_reg && interrupt_appeared |-> wb_InstPC == interruptEntry","Interrupt entry",""
"Control Flow","1096","1","Prove for correct PC set when an exception occurred.","write_wb_pipe_reg && exception_appeared |-> wb_InstPC == exceptionEntry","Exception entry",""
"Control Flow","1097","1","Prove for correct PC set when returned from debug mode.","write_wb_pipe_reg && debug_return |-> wb_InstPC == csrDpc","Debug return",""
"Control Flow","1098","1","Prove for correct PC set when previous instruction was jal instruction.","!firstInstruction && write_wb_pipe_reg && last_jal |-> wb_InstPC == jal_nextPC","After jal",""
"Control Flow","1099","1","Prove for correct PC set when previous instruction was jalr instruction.","!firstInstruction && write_wb_pipe_reg && last_jalr |-> wb_InstPC == jalr_nextPC","After jalr",""
"Control Flow","1100","1","Prove for correct PC set when previous instruction branch was taken.","!firstInstruction && write_wb_pipe_reg && last_branch |-> wb_InstPC == branch_nextPC","After taken branch",""
"Control Flow","1101","1","Prove for correct PC set when previous instruction was MRET.","!firstInstruction && write_wb_pipe_reg && last_mret |-> wb_InstPC == mret_nextPC","After MRET","DESIGN BUG FOUND: see Counterexample 3 (MRET in WB stage with exception in debug mode)."
