"category","property_id","count","description","sva","example_target","notes"
"Counterexamples (design bugs)","229-285","1","Counterexample 1: Noncompliance with RISC-V specification on CSRRW/CSRRWI read access. Per the RISC-V specification, if rd=x0, then CSRRW or CSRRWI shall not read and shall not cause any side effects that might occur on a CSRRW or CSRRWI read. However, current NS31A allows read access to CSRRW or CSRRWI even if rd=x0. This is considered an erratum.","(!(CSRRW) && !(CSRRS) && !(CSRRC) && !(CSRRWI) && !(CSRRSI) && !(CSRRCI)) |-> CsrRdAddr != MstatusAddr","CSRRW, CSRRWI when rd=x0","Bug confirmed by design team. Category: CSR."
"Counterexamples (design bugs)","286-342","1","Counterexample 2: Noncompliance with RISC-V specification on CSRRS/C/CSRRS/CI write access. Per the RISC-V specification, if rs1=x0 or uimm=0, then CSRRS/C or CSRRS/CI shall not write and shall not cause any side effects that might occur on a CSRRS/C or CSRRS/CI write. However, current NS31A allows write access to CSRRS/C or CSRRS/CI even if rs1=x0 or uimm=0. This is considered an erratum.","((!(CSRRW) && !(CSRRS) && !(CSRRC) && !(CSRRWI) && !(CSRRSI) && !(CSRRCI))) |-> !(WriteEn_mstatus)","CSRRS, CSRRC, CSRRSI, CSRRCI when rs1=x0 or uimm=0","Bug confirmed by design team. Category: CSR."
"Counterexamples (design bugs)","1101","1","Counterexample 3: PC-verification bug. When an MRET instruction is in the WB stage and an exception appears while the CPU is in debug mode, the next PC should be decided by the MRET instruction, not the exception handler PC (since the processor is in debug mode). However, a scenario was found where the PC was set to the PC of the exception handler.","!firstInstruction && write_wb_pipe_reg && last_mret |-> wb_InstPC == mret_nextPC","MRET in WB with concurrent exception in debug mode","Bug confirmed by design team. Category: Control Flow."
