"category","property_id","count","description","sva","example_target","notes"
"Debug Operation","405","1","Upon entry to debug mode, dpc is updated with the address of the next instruction to be executed. ebreak sets dpc to address of ebreak instruction. The ebreak instruction is used to return control to a debugging environment.","InstValid && PipeReady && EbreakDebug |-> ##1 Dpc == $past(InstPC)","","Per RISC-V Debug Specification."
"Debug Operation","406-407","2","dpc is set to the address of the instruction that would be executed next if no debugging was going on (where DebugStepExe is asserted), i.e. PC+4 for 32-bit instruction that does not change program flow, or the destination PC on taken jump/branch.","InstValid && PipeReady && !EbreakDebug && DebugStepExe && (JumpRequest || (BrExec && BrTaken)) |-> ##1 Dpc == $past(JmpTarget)","","Per RISC-V Debug Specification."
"Debug Operation","408","1","dcsr should contain privilege mode that hart was operating when debug mode was entered.","EnterDebugMode |-> ##1 (Dcsr[1:0] == $past(PrivMode))","","Per RISC-V Debug Specification."
"Debug Operation","409-418","10","Write to CSR in mode other than debug mode is not allowed for debug mode register.","!DebugMode |-> !(WriteEn_dcsr)","dcsr (example shown); applies to all debug mode CSRs","Covers debug-only CSRs (dcsr, dpc, dscratch0, mcountinhibit in debug mode, tselect, tdata1, tdata2, tinfo, etc.)."
